Companies,tsne_clusters,tsne1,tsne2,tsne3
Bank of America Corp,0,-25.623356,26.950523,-153.28317
The Bank of New York Mellon,0,-92.72948,44.09671,-201.17088
Baxter International Inc.,1,110.29588,112.24065,197.331
Becton Dickinson,2,97.743965,-163.79268,319.0001
Best Buy Co. Inc.,3,112.0885,-419.63644,-1.9349439
Bio-Rad Laboratories,2,153.59343,-265.81332,242.3581
Biogen Inc.,1,-328.8838,111.88307,236.75755
BlackRock,2,188.38278,187.07814,84.23171
Boeing Company,3,-302.83932,43.81029,-203.90285
Booking Holdings Inc,0,100.17942,133.95932,-270.91895
BorgWarner,3,-64.64949,-227.2541,-443.28113
Boston Properties,0,-127.06632,149.70537,-74.18843
Boston Scientific,1,-180.06387,121.41322,81.5843
Bristol-Myers Squibb,1,161.88136,324.7056,222.55365
Broadcom Inc.,2,326.2112,37.62194,-49.566326
Broadridge Financial Solutions,1,-38.465557,-248.00519,330.16098
C. H. Robinson Worldwide,2,107.79398,85.33773,29.000956
Cabot Oil & Gas,1,-125.08987,394.5327,241.68585
Cadence Design Systems,2,235.53488,-60.820885,56.84371
Campbell Soup,2,235.02747,92.634476,397.70792
Capital One Financial,3,-83.204796,-193.73918,-249.21599
Cardinal Health Inc.,0,214.79277,312.6308,3.1556165
Carmax Inc,3,-71.48038,-253.00554,32.46009
Carnival Corp.,3,-334.75793,-174.52397,-251.86374
Carrier Global,0,-0.14531402,210.07259,-148.32309
Catalent,3,-451.929,-215.39583,-248.72731
Caterpillar Inc.,3,-189.93521,-173.9593,-123.76959
Cboe Global Markets,1,-266.7321,-14.278236,312.23413
CBRE Group,0,-39.819435,84.21709,-290.72775
CDW,0,-80.65497,201.81126,-431.1615
Celanese,3,-356.13382,-82.43105,-49.180653
Centene Corporation,2,308.0821,245.48369,170.2422
CenterPoint Energy,1,-406.30692,-115.501564,150.33476
Cerner,1,-27.53547,-52.24404,339.09183
CF Industries Holdings Inc,0,142.2191,422.96292,-86.643425
Charles Schwab Corporation,0,-288.3954,240.43466,-241.51505
Charter Communications,2,477.06116,-74.27753,24.536224
Chevron Corp.,3,-262.35406,-110.733696,-129.03783
Chipotle Mexican Grill,0,337.69507,199.16763,-107.60353
Chubb Limited,0,-164.40186,209.59433,-314.61322
Church & Dwight,2,154.51282,-22.251093,355.44046
CIGNA Corp.,2,276.20712,332.72894,134.76877
Cincinnati Financial,0,-164.27731,272.1946,-233.22176
Cintas Corporation,2,81.99776,-243.44232,422.82065
Cisco Systems,2,204.40147,-180.20557,277.0437
Citigroup Inc.,3,-72.858734,-30.225521,-153.6567
Citizens Financial Group,0,-198.43889,408.40726,33.984894
Citrix Systems,2,18.020864,-367.89774,208.72702
The Clorox Company,2,250.33339,-13.348193,345.181
CME Group Inc.,1,-220.25735,37.488678,343.77798
CMS Energy,1,-135.54124,123.65095,250.87451
Coca-Cola Company,1,-178.94318,196.87675,146.64835
Cognizant Technology Solutions,1,-175.2129,-16.608881,151.90562
Colgate-Palmolive,2,180.05157,1.9009918,264.84137
Comcast Corp.,2,137.17464,-14.767473,-41.52835
Comerica Inc.,3,-92.837944,-160.32997,-163.85553
Conagra Brands,2,215.2748,136.0117,341.3144
Concho Resources,3,212.52693,-284.30157,-247.8737
ConocoPhillips,0,-240.39507,415.68622,-91.83719
Consolidated Edison,1,-20.41819,198.87584,218.14014
Constellation Brands,0,32.80956,442.9969,-185.52086
The Cooper Companies,1,-113.7118,-108.54154,183.69444
Copart Inc,1,-178.00749,303.0669,108.81324
Corning Inc.,1,-117.78207,-116.27217,283.2754
Corteva,1,-466.43866,127.98921,22.744043
Costco Wholesale Corp.,2,124.49454,-86.551025,225.62201
Crown Castle International Corp.,1,-47.722614,-31.389013,224.39116
CSX Corp.,3,-249.40527,-252.18205,19.958324
Cummins Inc.,0,-86.28927,441.45847,-15.067374
CVS Health,0,198.29715,353.85355,72.682915
D. R. Horton,3,72.84298,-339.20163,-41.00496
Danaher Corp.,2,102.24403,-197.72755,215.00632
Darden Restaurants,0,-345.3636,134.34335,-170.15923
DaVita Inc.,2,297.32828,219.87651,296.34204
Deere & Co.,3,-231.76524,-197.55565,-59.911465
Delta Air Lines Inc.,3,-414.51868,-29.15342,-209.49283
Dentsply Sirona,0,312.48282,151.66359,-263.78604
Devon Energy,3,76.87921,-328.7382,-224.09186
DexCom,2,89.179825,-167.26573,-1.4316412
Diamondback Energy,3,131.02792,-373.98706,-242.01674
Digital Realty Trust Inc,1,-43.472176,34.42242,261.76254
Discover Financial Services,1,-306.3074,152.9829,-3.1035702
"Discovery, Inc. (Class A)",2,6.2689705,13.925873,7.1764364
"Discovery, Inc. (Class C)",2,54.149857,2.034111,29.371143
Dish Network,3,99.56946,-118.4247,-265.29477
Dollar General,2,157.13434,18.072027,180.09012
Dollar Tree,0,38.88547,239.71402,-53.646194
Dominion Energy,1,19.744902,137.79117,169.6327
Domino's Pizza,2,233.15675,-125.54644,-172.94608
Dover Corporation,3,-224.53406,-138.63098,1.49889
Dow Inc.,3,-130.19441,-6.0165706,-324.77646
DTE Energy Co.,1,-216.17928,156.6259,327.84897
Duke Energy,1,7.0488553,218.37044,151.56293
Duke Realty Corp,1,-33.43659,306.37173,116.520004
DuPont de Nemours Inc,3,-0.48199934,-63.500008,-308.46255
DXC Technology,3,-164.44794,-237.81747,-321.91293
Eastman Chemical,3,-95.136375,-73.5129,-305.6394
Eaton Corporation,0,-61.232162,315.45074,-70.08906
eBay Inc.,2,387.69272,-201.12648,-178.46004
Ecolab Inc.,2,23.07907,-91.93656,23.210024
Edison Int'l,1,-201.48573,253.04765,309.4114
Edwards Lifesciences,1,-145.4956,65.48196,116.38829
Electronic Arts,2,301.72113,-221.08324,-145.45964
Emerson Electric Company,3,-223.58131,-255.59515,-149.63072
Entergy Corp.,1,-131.5108,200.21013,324.20535
EOG Resources,3,139.94159,-275.87555,-223.51416
Equifax Inc.,1,25.674366,267.56442,379.78354
Equinix,1,-29.259636,55.822212,146.79071
Equity Residential,1,-117.72441,200.497,54.23331
"Essex Property Trust, Inc.",0,-71.29356,245.4764,24.281927
Estée Lauder Companies,1,-316.60107,-64.231384,221.83784
Etsy,2,401.88892,-107.450806,-108.525154
Evergy,1,-89.42971,284.0302,282.0107
Eversource Energy,1,-29.087399,124.43699,230.80424
Everest Re Group Ltd.,1,-324.65292,227.85326,303.50595
Exelon Corp.,1,-176.94838,42.20369,242.13345
Expedia Group,0,119.24285,99.67916,-314.05695
Expeditors,1,-123.45775,-310.109,253.50363
Extra Space Storage,1,-30.565628,334.7096,204.28528
Exxon Mobil Corp.,3,76.42946,-219.00615,-262.50943
F5 Networks,2,171.55624,-30.248108,-155.0792
"Facebook, Inc.",2,288.7082,-33.446156,-117.19157
Fastenal Co,1,-81.095924,-205.90039,255.14647
Federal Realty Investment Trust,0,-190.50583,202.6471,-152.36133
FedEx Corporation,0,77.50292,35.73104,-96.543686
Fidelity National Information Services,0,170.26897,148.96515,-19.96466
Fifth Third Bancorp,3,-74.661934,-105.10495,-216.24156
FirstEnergy Corp,1,-104.63989,273.46698,376.59372
First Republic Bank,1,4.1548505,97.23347,49.6401
Fiserv Inc,0,113.752144,153.42708,-81.81234
FleetCor Technologies Inc,0,87.94944,231.90477,-410.57202
FLIR Systems,3,-139.98207,-428.48245,148.51184
Flowserve Corporation,3,-148.12024,-245.04454,-121.549
FMC Corporation,3,-421.2497,-28.780735,-24.936062
Ford Motor Company,0,208.18437,307.96454,-250.48456
Fortinet,2,328.46036,-91.53713,-40.864056
Fortive Corp,3,-244.5744,-181.35963,81.416374
Fortune Brands Home & Security,2,409.35648,-204.40143,123.535065
Fox Corporation (Class A),0,199.07825,147.02054,-213.9849
Fox Corporation (Class B),0,155.55307,158.7257,-183.53957
Franklin Resources,1,-424.03485,11.3200865,128.9448
Freeport-McMoRan Inc.,1,-57.859455,-202.04327,487.04822
Gap Inc.,3,-115.17205,-63.72335,-419.80304
Garmin Ltd.,1,77.587906,159.0569,80.682076
Gartner Inc,0,-29.978807,109.558365,-365.69443
General Dynamics,2,370.74487,-170.57648,260.0415
General Electric,3,-239.39842,4.2044196,-321.30383
General Mills,2,182.23766,60.769947,353.76605
General Motors,0,216.92998,275.63654,-194.40765
Genuine Parts,0,88.08156,297.6797,-295.25104
Gilead Sciences,2,79.19162,-22.731928,185.25511
Globe Life Inc.,0,107.569984,387.1022,148.61343
Global Payments Inc.,0,121.80815,192.23537,-24.622995
Goldman Sachs Group,3,-83.56825,-21.306372,-45.714188
Grainger (W.W.) Inc.,1,-141.09724,-210.4992,228.25807
Halliburton Co.,3,47.48522,-367.88043,-299.2348
Hanesbrands Inc,3,105.79426,-82.28878,-423.81708
Hartford Financial Svc.Gp.,3,30.156904,-149.49881,-103.442764
Hasbro Inc.,1,-266.7377,-231.2183,288.19058
HCA Healthcare,3,-253.77937,44.546997,-55.065376
Healthpeak Properties,0,-66.362785,217.23186,-61.309254
Henry Schein,0,312.34824,205.51437,-235.92201
The Hershey Company,1,-177.11357,-54.633495,367.66245
Hess Corporation,3,87.76458,-262.73938,-174.39865
Hewlett Packard Enterprise,0,-69.639984,134.04247,-227.8415
Hilton Worldwide Holdings Inc,0,196.2474,74.56282,-410.09015
HollyFrontier Corp,3,-42.418373,-270.86923,-345.02258
Hologic,0,-211.6721,386.07864,-227.13892
Home Depot,2,29.362383,-233.33257,63.37064
Honeywell Int'l Inc.,2,350.63284,104.719864,-152.9102
Hormel Foods Corp.,1,103.616066,41.747665,376.554
Host Hotels & Resorts,3,-241.79141,-146.33923,-247.86623
Howmet Aerospace,3,-308.4999,-65.08175,-296.3521
HP Inc.,0,12.624165,123.19086,-440.46048
Humana Inc.,2,228.40535,239.99435,198.59103
Huntington Bancshares,3,-4.5178385,-135.65996,-243.97331
Huntington Ingalls Industries,0,-188.47414,318.1208,-121.1248
IDEX Corporation,1,13.095333,449.12708,181.3013
IDEXX Laboratories,2,103.48146,-200.31801,134.0511
IHS Markit Ltd.,1,-16.219027,-151.91592,292.54318
Illinois Tool Works,1,-197.63606,-91.350334,64.0551
Illumina Inc,2,328.92426,25.458004,-254.15395
Incyte,2,386.69653,-252.13402,14.179008
Ingersoll Rand,3,-224.9813,-356.22925,-127.76446
Intel Corp.,2,276.4771,-2.9698217,121.46515
Intercontinental Exchange,1,62.395096,358.31784,302.693
International Business Machines,3,-62.56463,-141.2693,82.01429
International Paper,2,415.08258,-98.316795,187.77893
Interpublic Group,0,168.77077,17.113173,-299.65536
International Flavors & Fragrances,1,-288.68448,241.74034,180.59474
Intuit Inc.,2,203.1468,-158.62213,97.1905
Intuitive Surgical Inc.,1,-160.69664,0.18964855,45.343395
Invesco Ltd.,1,-469.7387,-1.461728,67.813484
IPG Photonics Corp.,2,376.14737,117.31282,195.78987
IQVIA Holdings Inc.,2,204.88689,-286.52066,79.550995
Iron Mountain Incorporated,0,45.785694,332.35074,102.79788
Jack Henry & Associates,2,-18.300083,-270.0941,224.82468
Jacobs Engineering Group,0,28.839159,340.00577,-80.74705
J. B. Hunt Transport Services,3,-364.42087,-188.63803,23.581295
JM Smucker,1,108.93484,115.504875,336.1905
Johnson & Johnson,2,106.88062,38.065594,258.3622
Johnson Controls International,0,-131.05432,315.0898,-17.707903
JPMorgan Chase & Co.,3,-45.034832,-191.42725,-97.34231
Juniper Networks,2,307.52304,-354.99924,-72.038055
Kansas City Southern,3,-315.685,-298.99362,28.536179
Kellogg Co.,1,154.43962,110.3974,405.44055
KeyCorp,3,-1.9319096,-175.81223,-180.22066
Keysight Technologies,2,376.5685,12.1517515,174.37045
Kimberly-Clark,2,172.77534,91.63299,277.30954
Kimco Realty,0,-185.57094,145.6,-199.80272
Kinder Morgan,3,-317.285,-156.06207,-102.36869
KLA Corporation,2,338.31052,57.647247,117.209
Kraft Heinz Co,2,173.94287,18.178589,452.17014
Kroger Co.,2,302.67914,77.93603,351.48605
L Brands Inc.,3,-56.857754,-291.58337,-60.77152
L3Harris Technologies,1,144.05818,255.19771,315.7439
Laboratory Corp. of America Holding,0,-115.62989,412.18393,-232.68309
Lam Research,2,302.4657,112.7121,111.699844
Lamb Weston Holdings Inc,3,-257.07687,-371.96814,98.58528
Las Vegas Sands,0,-334.09412,146.96837,-298.4663
Leggett & Platt,3,-44.790745,-5.105599,-382.3275
Leidos Holdings,0,114.11451,241.86377,41.03285
Lennar Corp.,3,18.6509,-345.8245,-70.471886
Lilly (Eli) & Co.,1,-257.84238,112.393135,230.37656
Lincoln National,3,-155.7714,-201.42383,113.672134
Linde plc,1,2.415121,-150.16258,397.49744
Live Nation Entertainment,0,122.86585,30.993885,-410.38242
LKQ Corporation,3,94.49501,-202.8636,-104.0196
Lockheed Martin Corp.,1,98.23174,237.88531,272.6791
Loews Corp.,3,-167.7446,-101.36108,-185.59746
Lowe's Cos.,3,3.3295178,-281.7318,79.920204
Lumen Technologies,0,-73.31007,295.8937,-175.61667
LyondellBasell,3,-80.716866,-2.5961697,-291.3331
M&T Bank Corp.,3,-19.904856,-72.37512,-84.03206
Marathon Oil Corp.,3,33.87036,-342.88873,-172.61703
Marathon Petroleum,3,66.47006,-201.8258,-345.94507
MarketAxess,3,-164.84024,-407.4956,6.670049
Marriott Int'l.,0,150.88535,110.215355,-411.2967
Marsh & McLennan,1,-15.498212,95.375175,473.48886
Martin Marietta Materials,0,179.34593,211.65118,-322.54745
Masco Corp.,1,-110.697716,375.0697,113.07481
Mastercard Inc.,0,186.78932,211.8446,-77.66891
McCormick & Co.,1,30.491957,-75.983925,262.19998
Maxim Integrated Products Inc,2,283.51364,59.64078,43.852314
McDonald's Corp.,3,33.54349,-250.95125,-15.394836
McKesson Corp.,0,276.23734,309.85934,14.789603
Medtronic plc,1,-230.6434,63.673428,129.85504
Merck & Co.,1,41.57093,5.562032,306.2523
MetLife Inc.,0,-157.3972,60.363285,-33.790012
Mettler Toledo,1,-78.33937,-2.2283096,100.77785
MGM Resorts International,3,-370.4546,43.523872,-270.51
Microchip Technology,2,260.2359,86.90412,-22.81705
Micron Technology,2,281.6148,160.10725,35.573303
Microsoft Corp.,2,227.88557,-100.22892,-16.095476
Mid-America Apartments,0,6.348739,245.38031,55.296562
Mohawk Industries,0,-230.1259,105.07358,-386.2303
Molson Coors Beverage Company,1,-297.69373,291.5641,80.24881
Mondelez International,2,251.36288,43.820126,251.4934
Monster Beverage,2,172.39816,-135.1739,192.79965
Moody's Corp,3,-90.83126,-368.2548,44.493725
Morgan Stanley,0,-96.60255,29.9779,-92.41242
The Mosaic Company,3,-143.36098,-331.00134,-280.3582
Motorola Solutions Inc.,0,-57.745354,82.028946,-17.178864
MSCI Inc,2,129.08876,-217.34259,55.774235
"Nasdaq, Inc.",0,114.59473,351.8244,-172.26183
National Oilwell Varco Inc.,3,120.95577,-304.34363,-309.92346
NetApp,2,260.98724,-224.85397,301.23325
Netflix Inc.,2,231.68216,-242.69408,-56.122368
Newell Brands,1,-235.3861,7.0418224,459.65045
Newmont Corporation,2,469.65436,129.19579,-24.013107
News Corp. Class A,0,-0.8091753,204.16895,-278.5783
News Corp. Class B,0,28.549652,192.88899,-321.83585
NextEra Energy,1,-8.042075,110.73461,324.5867
Nielsen Holdings,0,3.7263355,113.77872,-82.166016
"Nike, Inc.",0,234.44308,-53.231472,-370.329
NiSource Inc.,1,-162.32553,200.61755,241.41226
Norfolk Southern Corp.,3,-291.71686,-216.72098,-0.473985
Northern Trust Corp.,0,-75.116684,94.58937,-141.04024
Northrop Grumman,1,144.61069,197.72131,265.9715
NortonLifeLock,2,311.2706,-320.92505,96.658104
Norwegian Cruise Line Holdings,3,-338.09854,-215.82693,-191.13875
NRG Energy,2,131.05823,-0.3662878,81.08405
Nucor Corp.,3,-54.7936,-138.86317,-330.60974
Nvidia Corporation,2,151.72327,-125.21996,-43.52923
"NVR, Inc.",3,-8.459253,-344.1483,5.7208867
O'Reilly Automotive,3,-11.944764,-426.02036,117.712875
Occidental Petroleum,3,44.632637,-409.34256,-216.45026
Old Dominion Freight Line,2,252.65062,-355.44727,195.59712
Omnicom Group,0,31.694702,126.8942,-185.27745
ONEOK,3,-48.276207,-371.4715,-225.61836
Oracle Corp.,2,160.59389,100.595695,113.59738
Otis Worldwide,0,-17.359446,254.69632,-171.3738
PACCAR Inc.,0,-112.18898,396.75537,-59.60748
Packaging Corporation of America,0,92.13895,330.80685,4.148292
Parker-Hannifin,3,-192.66101,-73.52073,-283.43903
Paychex Inc.,2,223.34982,-124.37844,349.00766
Paycom,2,306.79047,-181.32639,112.067444
PayPal,2,157.10365,-89.00916,28.868956
Pentair plc,3,-144.44562,-186.89848,-34.474148
People's United Financial,0,-6.7621064,7.072139,-78.31895
PepsiCo Inc.,2,356.00192,216.28784,90.435555
PerkinElmer,2,114.26348,-302.88486,147.9588
Perrigo,0,221.2888,325.36298,-78.69633
Pfizer Inc.,1,42.36181,61.452744,253.36238
Philip Morris International,0,-325.72638,317.55276,-99.36089
Phillips 66,1,-179.32008,-196.0941,367.31763
Pinnacle West Capital,1,-95.946045,170.33505,384.87964
Pioneer Natural Resources,3,154.84096,-313.32153,-159.5174
PNC Financial Services,3,19.204643,-37.58005,-150.85579
Pool Corporation,2,30.677584,-156.3945,125.33144
PPG Industries,0,28.098986,39.74585,-240.7093
PPL Corp.,1,-137.14156,110.06345,334.6165
Principal Financial Group,3,-251.64836,-45.995728,-205.62796
Procter & Gamble,0,-377.89957,227.2961,-39.577106
Progressive Corp.,2,214.3556,-82.420166,268.77817
Prologis,1,-83.94203,274.6133,130.56094
Prudential Financial,3,-136.07812,-177.16737,46.899097
Public Service Enterprise Group (PSEG),1,-172.9127,155.53209,404.85873
Public Storage,1,23.864632,306.95395,199.30765
PulteGroup,3,31.721943,-399.07956,-35.699894
PVH Corp.,3,-15.737044,-72.19168,-422.88577
Qorvo,2,409.28268,11.920238,-10.909654
Quanta Services Inc.,0,-30.36408,363.63602,8.09213
QUALCOMM Inc.,2,281.68713,-18.360638,-6.273497
Quest Diagnostics,0,-136.07524,385.93054,-276.87845
Ralph Lauren Corporation,3,28.37194,-117.166275,-406.4482
Raymond James Financial Inc.,3,89.926254,-80.935295,-129.20935
Raytheon Technologies,0,102.70326,-11.549375,-237.46391
Realty Income Corporation,0,-268.0307,217.05112,-132.04169
Regency Centers Corporation,0,-130.55879,185.12973,-150.58553
Regeneron Pharmaceuticals,2,426.46518,-225.21176,-59.687588
Regions Financial Corp.,3,-28.937916,-111.5013,-159.94687
Republic Services Inc,0,-47.44914,299.2262,-317.3542
ResMed,1,-47.88644,42.399624,380.5478
Robert Half International,3,-138.82033,-299.41614,109.53689
Rockwell Automation Inc.,0,-60.33762,398.18124,-125.59414
Rollins Inc.,1,5.3497667,-106.91231,185.88327
Roper Technologies,2,116.47078,-99.80895,406.41278
Ross Stores,1,-347.1389,128.06477,92.16164
Royal Caribbean Group,3,-301.33755,-230.55296,-243.21358
"S&P Global, Inc.",2,130.13553,-285.93558,25.789843
Salesforce.com,2,273.29984,-220.61235,26.768192
SBA Communications,2,277.59235,-243.00882,193.15463
Schlumberger Ltd.,3,44.67653,-295.1312,-293.54565
Seagate Technology,2,366.06012,-19.722885,275.40686
Sealed Air,3,-330.50034,14.5261345,-22.563597
Sempra Energy,1,-217.04431,275.55072,229.66597
ServiceNow,2,121.64872,-119.36102,90.96921
Sherwin-Williams,1,-277.76715,-178.23897,187.06247
Simon Property Group Inc,0,-247.86803,121.01236,-154.46161
Skyworks Solutions,2,352.7553,1.3969464,27.15785
SL Green Realty,0,-169.94771,206.49792,-71.29394
Snap-on,0,94.6707,62.968056,-181.74405
Southern Company,0,10.179622,343.9076,-220.27481
Southwest Airlines,3,-459.37003,-89.9124,-213.4676
Stanley Black & Decker,3,-179.97522,-109.262085,-55.152874
Starbucks Corp.,0,242.79494,145.93208,-107.20139
State Street Corp.,0,-142.36324,53.297474,-152.3712
STERIS plc,1,-140.31847,-41.65929,225.92581
Stryker Corp.,1,-212.18692,60.620075,71.79746
SVB Financial,3,-165.98686,-199.85442,-219.48747
Synchrony Financial,1,-320.7691,28.860912,126.04698
Synopsys Inc.,2,248.12608,-123.61801,48.983124
Sysco Corp.,0,-310.7989,116.56094,-91.89316
T-Mobile US,2,325.99545,-71.945,-199.07515
T. Rowe Price Group,1,28.284328,-39.630596,426.01544
Take-Two Interactive,2,312.92755,-153.07875,-122.40656
"Tapestry, Inc.",3,-79.53188,-121.68421,-449.04593
Target Corp.,2,208.6421,47.359146,161.0829
TE Connectivity Ltd.,0,164.64906,61.613068,-134.8071
TechnipFMC,3,66.16116,-304.0419,-379.35608
Teledyne Technologies,3,-266.07333,-72.17938,-36.362225
Teleflex,1,-233.69489,-3.3068933,52.874695
Teradyne,2,413.17197,59.291256,76.73447
Texas Instruments,1,-195.61923,-124.81724,234.62793
Textron Inc.,3,-142.44489,-32.21214,-222.84015
Thermo Fisher Scientific,2,85.989494,-254.62071,201.5545
Tiffany & Co.,3,-442.84045,90.9546,-126.251
TJX Companies Inc.,1,-297.51028,159.75136,113.31236
Tractor Supply Company,2,423.7259,-9.737758,-171.81088
Trane Technologies plc,0,-30.920858,446.38297,72.99441
TransDigm Group,0,-92.842285,45.337025,-444.4645
The Travelers Companies Inc.,0,-188.42006,260.98358,-348.2449
Truist Financial,3,-20.40179,-43.029552,-220.3405
"Twitter, Inc.",2,276.1406,44.30477,-133.00137
Tyler Technologies,2,298.33026,-170.47766,-254.09538
Tyson Foods,3,-247.68117,-116.15484,-397.62973
"UDR, Inc.",0,-81.49017,171.86674,2.9811468
Ulta Beauty,1,-418.35123,140.9558,141.82635
U.S. Bancorp,3,47.39768,-87.80408,-199.57448
Under Armour (Class A),3,-358.79977,-256.6179,140.75734
Under Armour (Class C),3,-205.1834,6.5687666,-430.80624
Union Pacific Corp,3,-267.06805,-280.75604,-47.654995
United Airlines Holdings,3,-371.24677,-32.26519,-165.11691
UnitedHealth Group Inc.,2,243.76869,260.72623,134.37639
United Parcel Service,0,81.13896,75.22947,-36.31753
"United Rentals, Inc.",3,-165.80524,-141.42801,-329.34418
Universal Health Services,0,25.736057,23.76896,-469.71945
Unum Group,3,-208.53876,-5.9227405,-147.35184
Valero Energy,3,-0.043751936,-213.87839,-332.88858
Varian Medical Systems,1,-83.87479,54.755753,51.144733
Ventas Inc,1,-385.7997,99.5872,-34.10275
Verisign Inc.,2,185.25577,-66.46748,131.0876
Verisk Analytics,2,3.9891584,-180.38663,224.21892
Verizon Communications,1,113.62594,201.70992,167.16571
Vertex Pharmaceuticals Inc,2,395.64435,-171.18623,0.34559864
VF Corporation,3,95.36616,-58.56536,-340.27246
ViacomCBS,3,-363.68622,-265.88196,-134.73723
Viatris,3,195.80354,-80.1956,-257.84756
Visa Inc.,3,-151.19608,-290.46854,-12.5716915
Vontier,0,113.88639,433.47742,21.860971
Vornado Realty Trust,0,-200.41393,136.5748,-89.350334
Vulcan Materials,0,221.59772,178.17296,-336.9742
W. R. Berkley Corporation,0,-117.16701,228.99571,-258.37845
Westinghouse Air Brake Technologies Corp,3,-148.73427,-325.88547,-173.11168
Walmart,2,114.12482,-72.012024,291.1171
Walgreens Boots Alliance,1,-228.54256,383.40076,170.33215
The Walt Disney Company,0,-150.7753,96.77631,-294.751
Waste Management Inc.,1,61.765957,56.521523,124.90527
Waters Corporation,1,-48.60489,-48.725765,51.173283
WEC Energy Group,1,34.253838,159.88802,258.90717
Wells Fargo,3,-132.01761,-66.05971,-123.68424
Welltower Inc.,3,184.85507,-163.22433,-351.27805
West Pharmaceutical Services,2,147.23256,-344.59372,230.32321
Western Digital,2,286.44116,200.2478,-9.135116
Western Union Co,1,-211.89278,210.85051,36.176907
WestRock,0,41.90172,26.68222,-333.74423
Weyerhaeuser,3,-116.8247,-93.26564,3.777642
Whirlpool Corp.,2,69.32889,-358.09073,73.73007
Williams Companies,3,146.9213,-174.93414,-195.39479
Willis Towers Watson,1,15.7750845,159.83778,441.7931
Wynn Resorts Ltd,0,-318.03458,87.94378,-297.9646
Xcel Energy Inc,1,-19.197674,213.07007,297.74826
Xerox,1,-106.79313,-34.81297,468.3513
Xilinx,2,370.52963,-36.91632,100.10085
Xylem Inc.,1,-143.7147,-89.26077,100.84755
Yum! Brands Inc,3,-81.20805,-396.8233,-89.91146
